Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Subscriber Type
0h 11m 38s,6/30/2014 15:12,Potomac Ave & 8th St SE,31635,6/30/2014 15:23,Columbus Circle / Union Station,31623,W21491,Registered
0h 10m 22s,6/30/2014 15:12,19th & L St NW,31224,6/30/2014 15:22,11th & M St NW,31266,W21076,Registered
0h 4m 23s,6/30/2014 15:12,18th & M St NW,31221,6/30/2014 15:17,20th & O St NW / Dupont South,31234,W20639,Registered
0h 6m 54s,6/30/2014 15:13,14th & V St NW,31101,6/30/2014 15:20,Adams Mill & Columbia Rd NW,31104,W21037,Registered
0h 16m 55s,6/30/2014 15:13,Maryland & Independence Ave SW,31243,6/30/2014 15:30,USDA / 12th & Independence Ave SW,31217,W00462,Casual
0h 12m 17s,6/30/2014 15:13,6th St & Indiana Ave NW,31264,6/30/2014 15:25,1st & Rhode Island Ave NW,31506,W21721,Registered
0h 25m 3s,6/30/2014 15:13,8th & F St NE,31631,6/30/2014 15:38,8th & F St NE,31631,W20061,Casual
0h 16m 50s,6/30/2014 15:13,Maryland & Independence Ave SW,31243,6/30/2014 15:30,USDA / 12th & Independence Ave SW,31217,W20226,Casual
0h 10m 11s,6/30/2014 15:13,Market Square / King St & Royal St,31042,6/30/2014 15:23,Braddock Rd Metro,31047,W20935,Registered
0h 8m 1s,6/30/2014 15:13,Pershing & N George Mason Dr,31069,6/30/2014 15:21,Clarendon Metro / Wilson Blvd & N Highland St,31022,W21653,Registered
0h 13m 43s,6/30/2014 15:14,M St & New Jersey Ave SE,31208,6/30/2014 15:27,Columbus Circle / Union Station,31623,W00896,Registered
0h 31m 31s,6/30/2014 15:14,37th & O St NW / Georgetown University,31236,6/30/2014 15:45,21st & M St NW,31212,W20289,Casual
0h 14m 57s,6/30/2014 15:14,15th & East Capitol St NE,31630,6/30/2014 15:29,7th & F St NW / National Portrait Gallery,31232,W21450,Registered
0h 13m 33s,6/30/2014 15:14,M St & New Jersey Ave SE,31208,6/30/2014 15:27,Columbus Circle / Union Station,31623,W20302,Registered
0h 12m 51s,6/30/2014 15:14,Washington & Independence Ave SW/HHS,31272,6/30/2014 15:27,15th & East Capitol St NE,31630,W21468,Registered
0h 13m 22s,6/30/2014 15:14,Lincoln Memorial,31258,6/30/2014 15:27,S Joyce & Army Navy Dr,31006,W21352,Registered
0h 7m 48s,6/30/2014 15:14,8th & H St NW,31228,6/30/2014 15:22,7th & R St NW / Shaw Library,31245,W00112,Registered
0h 18m 21s,6/30/2014 15:14,Connecticut & Nebraska Ave NW,31310,6/30/2014 15:32,Calvert St & Woodley Pl NW,31121,W01427,Registered
0h 13m 19s,6/30/2014 15:14,Convention Center / 7th & M St NW,31223,6/30/2014 15:27,14th & Rhode Island Ave NW,31203,W00084,Registered
0h 16m 21s,6/30/2014 15:14,1st & M St NE,31603,6/30/2014 15:31,17th St & Massachusetts Ave NW,31267,W20324,Registered
0h 28m 26s,6/30/2014 15:14,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 15:43,Lincoln Memorial,31258,W20625,Casual
0h 4m 16s,6/30/2014 15:15,8th & H St NW,31228,6/30/2014 15:19,5th & F St NW,31620,W20825,Registered
0h 33m 13s,6/30/2014 15:15,37th & O St NW / Georgetown University,31236,6/30/2014 15:48,21st & M St NW,31212,W00752,Casual
0h 16m 32s,6/30/2014 15:15,Smithsonian / Jefferson Dr & 12th St SW,31248,6/30/2014 15:31,Lincoln Memorial,31258,W00266,Registered
0h 9m 7s,6/30/2014 15:15,21st St & Pennsylvania Ave NW,31252,6/30/2014 15:24,11th & F St NW,31262,W20586,Registered
0h 27m 30s,6/30/2014 15:15,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 15:43,Lincoln Memorial,31258,W21579,Casual
0h 2m 46s,6/30/2014 15:16,20th & E St NW,31204,6/30/2014 15:19,18th St & Pennsylvania Ave NW,31242,W21584,Registered
0h 6m 29s,6/30/2014 15:16,7th & R St NW / Shaw Library,31245,6/30/2014 15:22,5th & K St NW,31600,W00203,Registered
0h 13m 49s,6/30/2014 15:16,5th & F St NW,31620,6/30/2014 15:30,3rd & G St SE,31625,W20775,Registered
0h 12m 58s,6/30/2014 15:16,4th & M St SW,31108,6/30/2014 15:29,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,W20951,Registered
0h 11m 18s,6/30/2014 15:16,5th & K St NW,31600,6/30/2014 15:28,Smithsonian / Jefferson Dr & 12th St SW,31248,W20360,Registered
0h 10m 14s,6/30/2014 15:17,3rd & H St NE,31616,6/30/2014 15:27,5th St & Massachusetts Ave NW,31265,W21248,Registered
0h 10m 12s,6/30/2014 15:17,6th St & Indiana Ave NW,31264,6/30/2014 15:27,1st & N St  SE,31209,W21571,Registered
0h 3m 55s,6/30/2014 15:18,22nd & I St NW / Foggy Bottom,31257,6/30/2014 15:22,20th & O St NW / Dupont South,31234,W01006,Registered
0h 4m 52s,6/30/2014 15:18,3rd & H St NW,31604,6/30/2014 15:23,Constitution Ave & 2nd St NW/DOL,31271,W21670,Registered
0h 35m 21s,6/30/2014 15:18,6th St & Indiana Ave NW,31264,6/30/2014 15:53,Lincoln Memorial,31258,W01407,Casual
0h 13m 16s,6/30/2014 15:18,Maryland & Independence Ave SW,31243,6/30/2014 15:31,5th & K St NW,31600,W20919,Registered
0h 10m 35s,6/30/2014 15:18,Massachusetts Ave & Dupont Circle NW,31200,6/30/2014 15:29,16th & Harvard St NW,31103,W01375,Registered
0h 13m 13s,6/30/2014 15:18,Maryland & Independence Ave SW,31243,6/30/2014 15:31,5th & K St NW,31600,W21620,Registered
0h 35m 19s,6/30/2014 15:18,6th St & Indiana Ave NW,31264,6/30/2014 15:53,Lincoln Memorial,31258,W21097,Casual
0h 26m 13s,6/30/2014 15:18,14th & D St NW / Ronald Reagan Building,31231,6/30/2014 15:44,15th & K St NW,31254,W20636,Casual
0h 18m 53s,6/30/2014 15:18,8th & H St NW,31228,6/30/2014 15:37,17th & Rhode Island Ave NW,31239,W20854,Casual
0h 19m 3s,6/30/2014 15:18,7th & F St NW / National Portrait Gallery,31232,6/30/2014 15:38,Massachusetts Ave & Dupont Circle NW,31200,W01059,Registered
0h 14m 44s,6/30/2014 15:19,Potomac Ave & 8th St SE,31635,6/30/2014 15:33,Maryland & Independence Ave SW,31243,W01314,Registered
0h 20m 50s,6/30/2014 15:19,Gallaudet / 8th St & Florida Ave NE,31508,6/30/2014 15:39,Washington & Independence Ave SW/HHS,31272,W01421,Registered
0h 6m 35s,6/30/2014 15:19,5th St & Massachusetts Ave NW,31265,6/30/2014 15:25,12th & L St NW,31251,W00705,Registered
0h 5m 31s,6/30/2014 15:19,24th & N St NW,31255,6/30/2014 15:24,22nd & I St NW / Foggy Bottom,31257,W00291,Registered
0h 17m 30s,6/30/2014 15:19,C & O Canal & Wisconsin Ave NW,31225,6/30/2014 15:37,Jefferson Memorial,31249,W21156,Registered
0h 18m 21s,6/30/2014 15:19,Columbus Circle / Union Station,31623,6/30/2014 15:38,20th & E St NW,31204,W21291,Registered
0h 7m 36s,6/30/2014 15:19,11th & K St NW,31263,6/30/2014 15:27,11th & K St NW,31263,W20424,Registered
0h 17m 15s,6/30/2014 15:19,M St & Pennsylvania Ave NW,31246,6/30/2014 15:37,Lincoln Memorial,31258,W01440,Casual
0h 24m 8s,6/30/2014 15:19,21st St & Constitution Ave NW,31261,6/30/2014 15:44,19th St & Constitution Ave NW,31235,W20647,Casual
0h 16m 54s,6/30/2014 15:20,M St & Pennsylvania Ave NW,31246,6/30/2014 15:36,Lincoln Memorial,31258,W21264,Casual
0h 23m 52s,6/30/2014 15:20,21st St & Constitution Ave NW,31261,6/30/2014 15:44,19th St & Constitution Ave NW,31235,W20425,Casual
0h 8m 2s,6/30/2014 15:20,18th St & Pennsylvania Ave NW,31242,6/30/2014 15:28,4th & D St NW / Judiciary Square,31621,W00241,Registered
0h 13m 9s,6/30/2014 15:20,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,6/30/2014 15:33,Lamont & Mt Pleasant NW,31107,W20892,Registered
0h 20m 3s,6/30/2014 15:20,USDA / 12th & Independence Ave SW,31217,6/30/2014 15:40,Lincoln Memorial,31258,W21096,Casual
0h 4m 45s,6/30/2014 15:20,13th & U St NW,31268,6/30/2014 15:25,New Hampshire Ave & T St NW,31229,W20578,Registered
0h 15m 24s,6/30/2014 15:21,8th & D St NW,31270,6/30/2014 15:36,13th & D St NE,31622,W00709,Registered
0h 38m 25s,6/30/2014 15:21,21st St & Constitution Ave NW,31261,6/30/2014 15:59,Maryland & Independence Ave SW,31243,W21100,Casual
0h 19m 16s,6/30/2014 15:21,USDA / 12th & Independence Ave SW,31217,6/30/2014 15:40,Lincoln Memorial,31258,W00051,Casual
0h 11m 48s,6/30/2014 15:21,L'Enfant Plaza / 7th & C St SW,31218,6/30/2014 15:33,13th St & New York Ave NW,31227,W20568,Registered
0h 33m 2s,6/30/2014 15:21,California St & Florida Ave NW,31116,6/30/2014 15:54,Independence Ave & L'Enfant Plaza SW/DOE,31633,W00191,Registered
0h 8m 40s,6/30/2014 15:21,Deanwood Rec Center,31711,6/30/2014 15:30,Nannie Helen Burroughs & Minnesota Ave NE,31704,W21629,Registered
0h 5m 18s,6/30/2014 15:21,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,6/30/2014 15:26,Fessenden St & Wisconsin Ave NW,31309,W00688,Registered
0h 9m 5s,6/30/2014 15:21,Maryland & Independence Ave SW,31243,6/30/2014 15:30,3rd & G St SE,31625,W21406,Registered
0h 37m 39s,6/30/2014 15:21,21st St & Constitution Ave NW,31261,6/30/2014 15:59,Maryland & Independence Ave SW,31243,W20642,Casual
0h 5m 46s,6/30/2014 15:21,20th & O St NW / Dupont South,31234,6/30/2014 15:27,17th & Corcoran St NW,31214,W00859,Registered
0h 21m 8s,6/30/2014 15:21,Smithsonian / Jefferson Dr & 12th St SW,31248,6/30/2014 15:43,22nd & I St NW / Foggy Bottom,31257,W21447,Casual
0h 7m 32s,6/30/2014 15:22,21st St & Pennsylvania Ave NW,31252,6/30/2014 15:29,21st St & Pennsylvania Ave NW,31252,W00530,Registered
2h 34m 55s,6/30/2014 15:22,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 17:57,3rd & H St NW,31604,W01076,Casual
0h 13m 57s,6/30/2014 15:22,11th & M St NW,31266,6/30/2014 15:36,Washington & Independence Ave SW/HHS,31272,W00746,Registered
0h 11m 41s,6/30/2014 15:22,Jefferson Memorial,31249,6/30/2014 15:34,Smithsonian / Jefferson Dr & 12th St SW,31248,W00057,Casual
0h 11m 37s,6/30/2014 15:22,Jefferson Memorial,31249,6/30/2014 15:34,Smithsonian / Jefferson Dr & 12th St SW,31248,W20382,Casual
0h 16m 39s,6/30/2014 15:22,M St & Pennsylvania Ave NW,31246,6/30/2014 15:39,North Capitol St & F St NW,31624,W21094,Registered
0h 31m 53s,6/30/2014 15:23,22nd & I St NW / Foggy Bottom,31257,6/30/2014 15:54,M St & Pennsylvania Ave NW,31246,W00493,Casual
0h 12m 38s,6/30/2014 15:23,Lamont & Mt Pleasant NW,31107,6/30/2014 15:35,Massachusetts Ave & Dupont Circle NW,31200,W21039,Registered
2h 44m 56s,6/30/2014 15:23,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 18:08,8th & H St NW,31228,W00839,Casual
0h 34m 1s,6/30/2014 15:23,22nd & I St NW / Foggy Bottom,31257,6/30/2014 15:57,25th St & Pennsylvania Ave NW,31237,W20703,Casual
0h 4m 11s,6/30/2014 15:23,Columbus Circle / Union Station,31623,6/30/2014 15:27,6th & H St NE,31615,W00535,Registered
1h 28m 34s,6/30/2014 15:23,14th & G St NW,31238,6/30/2014 16:52,14th & G St NW,31238,W21043,Casual
1h 28m 41s,6/30/2014 15:23,14th & G St NW,31238,6/30/2014 16:52,14th & G St NW,31238,W21203,Casual
0h 25m 41s,6/30/2014 15:24,10th St & Constitution Ave NW,31219,6/30/2014 15:50,13th & H St NE,31611,W21644,Casual
0h 25m 42s,6/30/2014 15:24,10th St & Constitution Ave NW,31219,6/30/2014 15:50,13th & H St NE,31611,W00318,Casual
0h 3m 10s,6/30/2014 15:24,15th & K St NW,31254,6/30/2014 15:27,Thomas Circle,31241,W00792,Registered
0h 7m 0s,6/30/2014 15:24,7th & R St NW / Shaw Library,31245,6/30/2014 15:31,3rd & Elm St NW,31118,W20984,Registered
0h 58m 48s,6/30/2014 15:24,25th St & Pennsylvania Ave NW,31237,6/30/2014 16:23,Jefferson Dr & 14th St SW,31247,W00093,Casual
0h 2m 59s,6/30/2014 15:24,15th & K St NW,31254,6/30/2014 15:27,Thomas Circle,31241,W21195,Registered
0h 20m 22s,6/30/2014 15:24,18th St & Wyoming Ave NW,31114,6/30/2014 15:45,8th & H St NW,31228,W20857,Registered
0h 3m 51s,6/30/2014 15:25,4th & D St NW / Judiciary Square,31621,6/30/2014 15:29,5th St & Massachusetts Ave NW,31265,W00437,Registered
0h 7m 29s,6/30/2014 15:25,Adams Mill & Columbia Rd NW,31104,6/30/2014 15:32,Massachusetts Ave & Dupont Circle NW,31200,W21037,Registered
0h 19m 13s,6/30/2014 15:25,Independence Ave & L'Enfant Plaza SW/DOE,31633,6/30/2014 15:44,14th & G St NW,31238,W21243,Casual
0h 6m 50s,6/30/2014 15:25,23rd & Crystal Dr,31011,6/30/2014 15:32,12th & Army Navy Dr,31008,W21380,Registered
1h 26m 44s,6/30/2014 15:25,14th & G St NW,31238,6/30/2014 16:52,14th & G St NW,31238,W20723,Casual
0h 28m 32s,6/30/2014 15:25,22nd & I St NW / Foggy Bottom,31257,6/30/2014 15:54,M St & Pennsylvania Ave NW,31246,W00804,Casual
0h 5m 37s,6/30/2014 15:25,14th & G St NW,31238,6/30/2014 15:31,11th & M St NW,31266,W21550,Registered
0h 7m 36s,6/30/2014 15:25,14th & R St NW,31202,6/30/2014 15:33,20th St & Florida Ave NW,31110,W21177,Registered
0h 18m 50s,6/30/2014 15:26,21st St & Pennsylvania Ave NW,31252,6/30/2014 15:45,8th & D St NW,31270,W00389,Casual
0h 0m 3s,6/30/2014 15:26,Wisconsin Ave & O St NW,31312,6/30/2014 15:26,Wisconsin Ave & O St NW,31312,W21421,Registered
0h 6m 39s,6/30/2014 15:27,M St & Pennsylvania Ave NW,31246,6/30/2014 15:34,18th & M St NW,31221,W00428,Registered
0h 9m 9s,6/30/2014 15:27,Connecticut Ave & Tilden St NW,31313,6/30/2014 15:37,Adams Mill & Columbia Rd NW,31104,W20404,Registered
0h 22m 12s,6/30/2014 15:28,17th St & Massachusetts Ave NW,31267,6/30/2014 15:50,USDA / 12th & Independence Ave SW,31217,W20547,Registered
0h 15m 4s,6/30/2014 15:28,14th & Rhode Island Ave NW,31203,6/30/2014 15:43,15th & P St NW,31201,W21131,Registered
0h 5m 53s,6/30/2014 15:28,11th & F St NW,31262,6/30/2014 15:34,Convention Center / 7th & M St NW,31223,W00775,Registered
0h 10m 30s,6/30/2014 15:28,New York Ave & 15th St NW,31222,6/30/2014 15:39,Hains Point/Buckeye & Ohio Dr SW,31273,W20352,Registered
0h 25m 42s,6/30/2014 15:29,Jefferson Dr & 14th St SW,31247,6/30/2014 15:54,11th & F St NW,31262,W20084,Casual
0h 4m 21s,6/30/2014 15:29,8th & H St NW,31228,6/30/2014 15:33,6th St & Indiana Ave NW,31264,W21542,Registered
0h 17m 24s,6/30/2014 15:29,36th & Calvert St NW / Glover Park,31304,6/30/2014 15:46,5th St & Massachusetts Ave NW,31265,W01055,Registered
0h 9m 15s,6/30/2014 15:29,3rd & D St SE,31605,6/30/2014 15:38,15th St & Massachusetts Ave SE,31626,W01437,Registered
0h 8m 58s,6/30/2014 15:29,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,6/30/2014 15:38,13th & D St NE,31622,W01257,Registered
0h 11m 36s,6/30/2014 15:29,18th St & Wyoming Ave NW,31114,6/30/2014 15:41,22nd & I St NW / Foggy Bottom,31257,W01137,Registered
0h 31m 56s,6/30/2014 15:29,14th & D St NW / Ronald Reagan Building,31231,6/30/2014 16:01,L'Enfant Plaza / 7th & C St SW,31218,W00354,Casual
0h 24m 57s,6/30/2014 15:29,Jefferson Dr & 14th St SW,31247,6/30/2014 15:54,11th & F St NW,31262,W20051,Casual
0h 16m 52s,6/30/2014 15:29,Smithsonian / Jefferson Dr & 12th St SW,31248,6/30/2014 15:46,21st St & Constitution Ave NW,31261,W01483,Casual
0h 31m 45s,6/30/2014 15:30,14th & D St NW / Ronald Reagan Building,31231,6/30/2014 16:01,L'Enfant Plaza / 7th & C St SW,31218,W20251,Casual
0h 12m 38s,6/30/2014 15:30,27th & Crystal Dr,31009,6/30/2014 15:42,S Four Mile Run Dr & S Shirlington Rd,31057,W00825,Registered
0h 17m 36s,6/30/2014 15:30,4th St & Rhode Island Ave NE,31500,6/30/2014 15:47,5th & F St NW,31620,W00490,Registered
0h 13m 30s,6/30/2014 15:30,21st St & Pennsylvania Ave NW,31252,6/30/2014 15:43,17th & K St NW,31213,W20897,Registered
0h 2m 37s,6/30/2014 15:30,N Rhodes & 16th St N,31018,6/30/2014 15:32,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,W21036,Registered
0h 16m 35s,6/30/2014 15:30,Smithsonian / Jefferson Dr & 12th St SW,31248,6/30/2014 15:46,21st St & Constitution Ave NW,31261,W21223,Casual
2h 26m 20s,6/30/2014 15:30,Maryland & Independence Ave SW,31243,6/30/2014 17:56,Massachusetts Ave & Dupont Circle NW,31200,W21385,Casual
0h 6m 39s,6/30/2014 15:30,Calvert & Biltmore St NW,31106,6/30/2014 15:37,Massachusetts Ave & Dupont Circle NW,31200,W20629,Casual
2h 14m 19s,6/30/2014 15:30,Maryland & Independence Ave SW,31243,6/30/2014 17:45,Massachusetts Ave & Dupont Circle NW,31200,W20299,Casual
0h 49m 38s,6/30/2014 15:31,Washington & Independence Ave SW/HHS,31272,6/30/2014 16:20,USDA / 12th & Independence Ave SW,31217,W00798,Casual
0h 46m 59s,6/30/2014 15:31,Washington & Independence Ave SW/HHS,31272,6/30/2014 16:18,USDA / 12th & Independence Ave SW,31217,W20098,Casual
0h 30m 57s,6/30/2014 15:31,14th & D St NW / Ronald Reagan Building,31231,6/30/2014 16:01,L'Enfant Plaza / 7th & C St SW,31218,W20037,Casual
0h 7m 39s,6/30/2014 15:31,15th & K St NW,31254,6/30/2014 15:38,17th St & Massachusetts Ave NW,31267,W01316,Casual
0h 10m 12s,6/30/2014 15:31,19th & E Street NW,31206,6/30/2014 15:41,17th & Rhode Island Ave NW,31239,W00397,Registered
0h 50m 41s,6/30/2014 15:31,Washington & Independence Ave SW/HHS,31272,6/30/2014 16:21,Smithsonian / Jefferson Dr & 12th St SW,31248,W21179,Casual
0h 6m 18s,6/30/2014 15:31,Thomas Circle,31241,6/30/2014 15:37,19th & L St NW,31224,W21371,Registered
0h 8m 19s,6/30/2014 15:31,Massachusetts Ave & Dupont Circle NW,31200,6/30/2014 15:39,14th & Rhode Island Ave NW,31203,W01260,Registered
0h 8m 13s,6/30/2014 15:31,5th & F St NW,31620,6/30/2014 15:39,11th & K St NW,31263,W01175,Registered
0h 13m 25s,6/30/2014 15:31,36th & Calvert St NW / Glover Park,31304,6/30/2014 15:44,18th St & Wyoming Ave NW,31114,W00163,Registered
0h 37m 27s,6/30/2014 15:31,Washington & Independence Ave SW/HHS,31272,6/30/2014 16:08,Jefferson Dr & 14th St SW,31247,W21552,Casual
0h 7m 5s,6/30/2014 15:31,15th & K St NW,31254,6/30/2014 15:38,17th St & Massachusetts Ave NW,31267,W01099,Casual
0h 12m 57s,6/30/2014 15:31,37th & O St NW / Georgetown University,31236,6/30/2014 15:44,Massachusetts Ave & Dupont Circle NW,31200,W01470,Casual
1h 2m 15s,6/30/2014 15:31,Georgetown Harbor / 30th St NW,31215,6/30/2014 16:33,Georgetown Harbor / 30th St NW,31215,W00756,Registered
1h 2m 5s,6/30/2014 15:31,Georgetown Harbor / 30th St NW,31215,6/30/2014 16:33,Georgetown Harbor / 30th St NW,31215,W01290,Casual
0h 10m 39s,6/30/2014 15:31,10th St & Constitution Ave NW,31219,6/30/2014 15:42,11th & K St NW,31263,W00736,Casual
0h 5m 29s,6/30/2014 15:31,15th & P St NW,31201,6/30/2014 15:37,New Hampshire Ave & T St NW,31229,W01141,Registered
0h 2m 3s,6/30/2014 15:31,US Dept of State / Virginia Ave & 21st St NW,31220,6/30/2014 15:34,19th & E Street NW,31206,W21246,Registered
0h 21m 39s,6/30/2014 15:31,Lincoln Memorial,31258,6/30/2014 15:53,Lynn & 19th St North,31014,W21346,Registered
0h 21m 58s,6/30/2014 15:32,Lincoln Memorial,31258,6/30/2014 15:54,Lynn & 19th St North,31014,W21595,Registered
0h 29m 37s,6/30/2014 15:32,14th & D St NW / Ronald Reagan Building,31231,6/30/2014 16:01,L'Enfant Plaza / 7th & C St SW,31218,W01121,Casual
0h 16m 7s,6/30/2014 15:32,21st & M St NW,31212,6/30/2014 15:48,Lynn & 19th St North,31014,W21314,Registered
0h 5m 52s,6/30/2014 15:32,17th St & Massachusetts Ave NW,31267,6/30/2014 15:38,18th St & Pennsylvania Ave NW,31242,W20324,Registered
0h 29m 17s,6/30/2014 15:32,14th & D St NW / Ronald Reagan Building,31231,6/30/2014 16:01,L'Enfant Plaza / 7th & C St SW,31218,W00107,Casual
0h 30m 25s,6/30/2014 15:32,8th & D St NW,31270,6/30/2014 16:03,21st & M St NW,31212,W21090,Casual
0h 9m 53s,6/30/2014 15:32,14th & G St NW,31238,6/30/2014 15:42,L'Enfant Plaza / 7th & C St SW,31218,W20148,Registered
0h 45m 50s,6/30/2014 15:32,7th & R St NW / Shaw Library,31245,6/30/2014 16:18,7th & R St NW / Shaw Library,31245,W00900,Casual
0h 34m 48s,6/30/2014 15:32,Massachusetts Ave & Dupont Circle NW,31200,6/30/2014 16:07,3rd St & Pennsylvania Ave SE,31269,W01051,Casual
0h 29m 52s,6/30/2014 15:33,8th & D St NW,31270,6/30/2014 16:03,21st & M St NW,31212,W00335,Casual
0h 18m 50s,6/30/2014 15:33,Maryland & Independence Ave SW,31243,6/30/2014 15:52,6th & Water St SW / SW Waterfront,31609,W20455,Casual
0h 34m 10s,6/30/2014 15:33,11th & Kenyon St NW,31102,6/30/2014 16:07,M St & Pennsylvania Ave NW,31246,W00433,Casual
0h 11m 46s,6/30/2014 15:33,Clarendon Metro / Wilson Blvd & N Highland St,31022,6/30/2014 15:45,Thomas Jefferson Cmty Ctr / 2nd St S & Ivy,31074,W21287,Registered
0h 17m 18s,6/30/2014 15:33,34th St & Wisconsin Ave NW,31226,6/30/2014 15:50,13th & U St NW,31268,W21510,Registered
0h 18m 17s,6/30/2014 15:33,Maryland & Independence Ave SW,31243,6/30/2014 15:51,6th & Water St SW / SW Waterfront,31609,W20399,Casual
0h 3m 32s,6/30/2014 15:33,Calvert St & Woodley Pl NW,31121,6/30/2014 15:37,Adams Mill & Columbia Rd NW,31104,W01427,Registered
0h 24m 1s,6/30/2014 15:33,Smithsonian / Jefferson Dr & 12th St SW,31248,6/30/2014 15:57,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,W20811,Casual
0h 26m 20s,6/30/2014 15:33,14th & R St NW,31202,6/30/2014 16:00,14th & V St NW,31101,W20212,Registered
0h 22m 44s,6/30/2014 15:33,22nd & I St NW / Foggy Bottom,31257,6/30/2014 15:56,4th & M St SW,31108,W00557,Registered
0h 10m 23s,6/30/2014 15:33,19th & East Capitol St SE,31601,6/30/2014 15:44,D St & Maryland Ave NE,31612,W00386,Casual
0h 4m 10s,6/30/2014 15:33,New Hampshire Ave & T St NW,31229,6/30/2014 15:38,20th St & Florida Ave NW,31110,W21176,Registered
0h 33m 40s,6/30/2014 15:33,11th & Kenyon St NW,31102,6/30/2014 16:07,M St & Pennsylvania Ave NW,31246,W20504,Casual
0h 23m 31s,6/30/2014 15:34,Smithsonian / Jefferson Dr & 12th St SW,31248,6/30/2014 15:57,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,W20643,Casual
0h 13m 55s,6/30/2014 15:34,Hains Point/Buckeye & Ohio Dr SW,31273,6/30/2014 15:47,Constitution Ave & 2nd St NW/DOL,31271,W21010,Registered
0h 21m 26s,6/30/2014 15:34,4th & M St SW,31108,6/30/2014 15:55,8th & Eye St SE / Barracks Row,31608,W20894,Registered
0h 7m 34s,6/30/2014 15:34,19th & E Street NW,31206,6/30/2014 15:42,17th St & Massachusetts Ave NW,31267,W00144,Registered
0h 5m 28s,6/30/2014 15:34,6th St & Indiana Ave NW,31264,6/30/2014 15:40,13th St & New York Ave NW,31227,W21542,Registered
0h 29m 37s,6/30/2014 15:34,4th & E St SW,31244,6/30/2014 16:04,Georgetown Harbor / 30th St NW,31215,W20823,Registered
0h 6m 17s,6/30/2014 15:34,15th & K St NW,31254,6/30/2014 15:41,21st & I St NW,31205,W01208,Registered
0h 6m 14s,6/30/2014 15:34,Neal St & Trinidad Ave NE,31512,6/30/2014 15:41,M St & Delaware Ave NE,31627,W00960,Registered
0h 5m 13s,6/30/2014 15:35,17th & Corcoran St NW,31214,6/30/2014 15:40,20th & O St NW / Dupont South,31234,W00859,Registered
0h 20m 37s,6/30/2014 15:35,14th St & Spring Rd NW,31401,6/30/2014 15:55,14th & V St NW,31101,W01419,Registered
0h 4m 45s,6/30/2014 15:35,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 15:40,Maryland & Independence Ave SW,31243,W21670,Registered
0h 22m 40s,6/30/2014 15:35,22nd & I St NW / Foggy Bottom,31257,6/30/2014 15:58,10th St & Constitution Ave NW,31219,W00291,Casual
0h 13m 35s,6/30/2014 15:35,C & O Canal & Wisconsin Ave NW,31225,6/30/2014 15:49,Arlington Blvd & N Queen St,31051,W21322,Registered
0h 5m 24s,6/30/2014 15:36,Clarendon Metro / Wilson Blvd & N Highland St,31022,6/30/2014 15:41,Clarendon Blvd & Pierce St,31016,W00594,Registered
0h 21m 46s,6/30/2014 15:36,22nd & I St NW / Foggy Bottom,31257,6/30/2014 15:58,10th St & Constitution Ave NW,31219,W20414,Casual
0h 31m 12s,6/30/2014 15:36,11th & Kenyon St NW,31102,6/30/2014 16:07,M St & Pennsylvania Ave NW,31246,W00183,Casual
0h 16m 33s,6/30/2014 15:36,4th & D St NW / Judiciary Square,31621,6/30/2014 15:52,Eckington Pl & Q St NE,31505,W21217,Registered
0h 36m 13s,6/30/2014 15:36,8th & D St NW,31270,6/30/2014 16:12,Smithsonian / Jefferson Dr & 12th St SW,31248,W21186,Casual
0h 28m 44s,6/30/2014 15:36,Ward Circle / American University,31301,6/30/2014 16:05,Calvert St & Woodley Pl NW,31121,W20402,Casual
0h 8m 57s,6/30/2014 15:36,Old Georgetown Rd & Southwick St,32039,6/30/2014 15:45,Cordell & Norfolk Ave,32008,W20931,Registered
0h 22m 57s,6/30/2014 15:36,Washington & Independence Ave SW/HHS,31272,6/30/2014 15:59,Jefferson Dr & 14th St SW,31247,W21438,Casual
0h 24m 45s,6/30/2014 15:36,Washington & Independence Ave SW/HHS,31272,6/30/2014 16:01,Jefferson Dr & 14th St SW,31247,W00476,Casual
0h 4m 55s,6/30/2014 15:36,C & O Canal & Wisconsin Ave NW,31225,6/30/2014 15:41,25th St & Pennsylvania Ave NW,31237,W20489,Registered
0h 35m 59s,6/30/2014 15:36,8th & D St NW,31270,6/30/2014 16:12,Smithsonian / Jefferson Dr & 12th St SW,31248,W01042,Casual
0h 5m 57s,6/30/2014 15:37,15th St & Massachusetts Ave SE,31626,6/30/2014 15:42,Potomac & Pennsylvania Ave SE,31606,W21581,Registered
